classifier,dataset,interpolation,batch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp
MLP,OSULeaf,linear,10,90,0.9449999928474426,0.6085396483674201,0.3364603444800225,0.5479009687836384,0.39709902406380426
MLP,OSULeaf,fourier,15,90,0.9449999928474426,0.567703952901598,0.3772960399458446,0.44070647603027757,0.504293516817165
MLP,OSULeaf,linear,15,90,0.9449999928474426,0.5869688385269122,0.35803115432053045,0.47988668555240793,0.4651133072950347
MLP,OSULeaf,fourier,20,90,0.9449999928474426,0.5479041916167665,0.3970958012306761,0.3972055888223553,0.5477944040250873
MLP,OSULeaf,linear,20,90,0.9449999928474426,0.5804145818441744,0.36458541100326824,0.4610436025732666,0.48395639027417603
MLP,OSULeaf,fourier,25,90,0.9449999928474426,0.5280665280665281,0.41693346478091453,0.3877338877338877,0.5572661051135549
MLP,OSULeaf,linear,25,90,0.9449999928474426,0.574033552151714,0.3709664406957286,0.4427425237053246,0.502257469142118
MLP,OSULeaf,fourier,30,90,0.9449999928474426,0.5096241979835013,0.4353757948639413,0.3565536205316224,0.5884463723158202
MLP,OSULeaf,linear,30,90,0.9449999928474426,0.5640465793304221,0.3809534135170205,0.4163027656477438,0.5286972271996988
MLP,OSULeaf,fourier,35,90,0.9449999928474426,0.5546088303640588,0.3903911624833838,0.4113090627420604,0.5336909301053823
MLP,OSULeaf,linear,35,90,0.9449999928474426,0.5502832861189801,0.3947167067284625,0.4093484419263456,0.5356515509210971
MLP,OSULeaf,fourier,40,90,0.9449999928474426,0.5488668555240793,0.3961331373233633,0.40084985835694054,0.5441501344905021
MLP,OSULeaf,linear,40,90,0.9449999928474426,0.5650349650349651,0.37996502781247754,0.40559440559440557,0.539405587253037
MLP,OSULeaf,fourier,45,90,0.9449999928474426,0.5607094133697135,0.38429057947772916,0.39017735334242837,0.5548226395050142
MLP,OSULeaf,linear,45,90,0.9449999928474426,0.5461847389558233,0.3988152538916193,0.3795180722891566,0.5654819205582859
MLP,OSULeaf,fourier,50,90,0.9449999928474426,0.5487483530961792,0.39625163975126343,0.35507246376811596,0.5899275290793267
MLP,OSULeaf,linear,50,90,0.9449999928474426,0.5422488356620093,0.4027511571854333,0.3439787092481703,0.6010212835992723
MLP,OSULeaf,fourier,55,90,0.9449999928474426,0.5517241379310345,0.39327585491640815,0.3620689655172414,0.5829310273302013
MLP,OSULeaf,linear,55,90,0.9449999928474426,0.5470967741935484,0.3979032186538942,0.3664516129032258,0.5785483799442168
MLP,OSULeaf,fourier,5,90,0.9449999928474426,0.6457861116834948,0.29921388116394787,0.6227076035441995,0.3222923893032431
MLP,OSULeaf,linear,5,90,0.9449999928474426,0.6560781078107811,0.2889218850366615,0.6398514851485149,0.30514850769892776
MLP,OSULeaf,fourier,60,90,0.9449999928474426,0.5327510917030568,0.41224890114438584,0.3413391557496361,0.6036608370978065
MLP,OSULeaf,linear,60,90,0.9449999928474426,0.5544354838709677,0.3905645089764749,0.3588709677419355,0.5861290251055071
MLP,OSULeaf,fourier,65,90,0.9449999928474426,0.5320600272851296,0.41293996556231305,0.3403819918144611,0.6046180010329816
MLP,OSULeaf,linear,65,90,0.9449999928474426,0.5296143250688705,0.4153856677785721,0.3409090909090909,0.6040909019383518
MLP,OSULeaf,fourier,70,90,0.9449999928474426,0.5093896713615024,0.43561032148594026,0.3513302034428795,0.593669789404563
MLP,OSULeaf,linear,70,90,0.9449999928474426,0.5200892857142857,0.42491070713315693,0.359375,0.5856249928474426
MLP,OSULeaf,fourier,75,90,0.9449999928474426,0.5092661230541141,0.4357338697933285,0.31875463306152707,0.6262453597859156
MLP,OSULeaf,linear,75,90,0.9449999928474426,0.5151515151515151,0.4298484776959275,0.32076866223207684,0.6242313306153657
MLP,OSULeaf,fourier,80,90,0.9449999928474426,0.5151750972762645,0.4298248955711781,0.311284046692607,0.6337159461548356
MLP,OSULeaf,linear,80,90,0.9449999928474426,0.5179407176287052,0.42705927521873743,0.3174726989079563,0.6275272939394863
MLP,OSULeaf,fourier,85,90,0.9449999928474426,0.5004156275976724,0.4445843652497702,0.32917705735660846,0.6158229354908342
MLP,OSULeaf,linear,85,90,0.9449999928474426,0.5202808112324493,0.42471918161499334,0.3338533541341654,0.6111466387132772
MLP,OSULeaf,fourier,90,90,0.9449999928474426,0.5063291139240507,0.43867087892339196,0.3029535864978903,0.6420464063495523
MLP,OSULeaf,linear,90,90,0.9449999928474426,0.5076923076923077,0.43730768515513496,0.30256410256410254,0.64243589028334
MLP,OSULeaf,fourier,95,90,0.9449999928474426,0.521079258010118,0.4239207348373246,0.3220910623946037,0.6229089304528389
MLP,OSULeaf,linear,95,90,0.9449999928474426,0.52,0.4249999928474426,0.3191489361702128,0.6258510566772298
ResNet,BeetleFly,fourier,102,90,1.0,0.6987951807228916,0.3012048192771084,0.8795180722891566,0.12048192771084343
ResNet,BeetleFly,linear,102,90,1.0,0.6710526315789473,0.32894736842105265,0.868421052631579,0.13157894736842102
ResNet,BeetleFly,fourier,108,90,1.0,0.6341463414634146,0.36585365853658536,0.8780487804878049,0.12195121951219512
ResNet,BeetleFly,linear,108,90,1.0,0.6206896551724138,0.3793103448275862,0.8735632183908046,0.12643678160919536
ResNet,BeetleFly,fourier,114,90,1.0,0.6144578313253012,0.3855421686746988,0.8313253012048193,0.1686746987951807
ResNet,BeetleFly,linear,114,90,1.0,0.6049382716049383,0.3950617283950617,0.8395061728395061,0.16049382716049387
ResNet,BeetleFly,fourier,120,90,1.0,0.6753246753246753,0.3246753246753247,0.8961038961038961,0.10389610389610393
ResNet,BeetleFly,linear,120,90,1.0,0.6666666666666666,0.33333333333333337,0.8717948717948718,0.1282051282051282
ResNet,BeetleFly,fourier,126,90,1.0,0.6666666666666666,0.33333333333333337,0.8260869565217391,0.17391304347826086
ResNet,BeetleFly,linear,126,90,1.0,0.6329113924050633,0.36708860759493667,0.8481012658227848,0.15189873417721522
ResNet,BeetleFly,fourier,12,90,1.0,0.9047619047619048,0.09523809523809523,0.8888888888888888,0.11111111111111116
ResNet,BeetleFly,linear,12,90,1.0,0.823943661971831,0.176056338028169,0.8169014084507042,0.18309859154929575
ResNet,BeetleFly,fourier,18,90,1.0,0.9298245614035088,0.07017543859649122,0.9473684210526315,0.052631578947368474
ResNet,BeetleFly,linear,18,90,1.0,0.875,0.125,0.875,0.125
ResNet,BeetleFly,fourier,24,90,1.0,0.8222222222222222,0.1777777777777778,0.8666666666666667,0.1333333333333333
ResNet,BeetleFly,linear,24,90,1.0,0.8313253012048193,0.1686746987951807,0.8433734939759037,0.15662650602409633
ResNet,BeetleFly,fourier,30,90,1.0,0.8679245283018868,0.13207547169811318,0.9056603773584906,0.09433962264150941
ResNet,BeetleFly,linear,30,90,1.0,0.7878787878787878,0.21212121212121215,0.8181818181818182,0.18181818181818177
ResNet,BeetleFly,fourier,36,90,1.0,0.821917808219178,0.17808219178082196,0.9178082191780822,0.0821917808219178
ResNet,BeetleFly,linear,36,90,1.0,0.8108108108108109,0.18918918918918914,0.8918918918918919,0.10810810810810811
ResNet,BeetleFly,fourier,42,90,1.0,0.8850574712643678,0.11494252873563215,0.9425287356321839,0.05747126436781613
ResNet,BeetleFly,linear,42,90,1.0,0.8048780487804879,0.19512195121951215,0.8780487804878049,0.12195121951219512
ResNet,BeetleFly,fourier,48,90,1.0,0.8365384615384616,0.16346153846153844,0.8846153846153846,0.11538461538461542
ResNet,BeetleFly,linear,48,90,1.0,0.810126582278481,0.189873417721519,0.9113924050632911,0.08860759493670889
ResNet,BeetleFly,fourier,54,90,1.0,0.8282828282828283,0.1717171717171717,0.9090909090909091,0.09090909090909094
ResNet,BeetleFly,linear,54,90,1.0,0.8604651162790697,0.13953488372093026,0.9418604651162791,0.05813953488372092
ResNet,BeetleFly,fourier,60,90,1.0,0.7938144329896907,0.20618556701030932,0.9175257731958762,0.08247422680412375
ResNet,BeetleFly,linear,60,90,1.0,0.7848101265822784,0.21518987341772156,0.8860759493670886,0.11392405063291144
ResNet,BeetleFly,fourier,66,90,1.0,0.776595744680851,0.22340425531914898,0.9148936170212766,0.08510638297872342
ResNet,BeetleFly,linear,66,90,1.0,0.7684210526315789,0.2315789473684211,0.9052631578947369,0.09473684210526312
ResNet,BeetleFly,fourier,6,90,1.0,0.773109243697479,0.22689075630252098,0.8067226890756303,0.19327731092436973
ResNet,BeetleFly,linear,6,90,1.0,0.7608695652173914,0.23913043478260865,0.7898550724637681,0.21014492753623193
ResNet,BeetleFly,fourier,72,90,1.0,0.776595744680851,0.22340425531914898,0.8723404255319149,0.12765957446808507
ResNet,BeetleFly,linear,72,90,1.0,0.7553191489361702,0.24468085106382975,0.8723404255319149,0.12765957446808507
