classifier,dataset,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp
MLP,OSULeaf,95,90,0.9449999928474426,0.5074626865671642,0.4375373062802784,0.323943661971831,0.6210563308756116
ResNet,BeetleFly,102,90,1.0,0.6111111111111112,0.38888888888888884,0.8620689655172413,0.13793103448275867
ResNet,BeetleFly,108,90,1.0,0.53125,0.46875,0.875,0.125
ResNet,BeetleFly,114,90,1.0,0.5428571428571428,0.4571428571428572,0.8108108108108109,0.18918918918918914
ResNet,BeetleFly,120,90,1.0,0.5116279069767442,0.4883720930232558,0.9090909090909091,0.09090909090909094
ResNet,BeetleFly,126,90,1.0,0.5833333333333334,0.41666666666666663,0.7567567567567568,0.2432432432432432
ResNet,BeetleFly,12,90,1.0,0.77,0.22999999999999998,0.7777777777777778,0.2222222222222222
ResNet,BeetleFly,18,90,1.0,0.8349514563106796,0.16504854368932043,0.803921568627451,0.196078431372549
ResNet,BeetleFly,24,90,1.0,0.7962962962962963,0.20370370370370372,0.7864077669902912,0.21359223300970875
ResNet,BeetleFly,30,90,1.0,0.8085106382978723,0.19148936170212771,0.79,0.20999999999999996
ResNet,BeetleFly,36,90,1.0,0.7303370786516854,0.2696629213483146,0.8020833333333334,0.19791666666666663
ResNet,BeetleFly,42,90,1.0,0.7011494252873564,0.29885057471264365,0.8823529411764706,0.11764705882352944
ResNet,BeetleFly,48,90,1.0,0.7878787878787878,0.21212121212121215,0.7926829268292683,0.20731707317073167
ResNet,BeetleFly,54,90,1.0,0.7123287671232876,0.28767123287671237,0.9047619047619048,0.09523809523809523
ResNet,BeetleFly,60,90,1.0,0.6612903225806451,0.33870967741935487,0.8548387096774194,0.14516129032258063
ResNet,BeetleFly,66,90,1.0,0.639344262295082,0.360655737704918,0.847457627118644,0.15254237288135597
ResNet,BeetleFly,6,90,1.0,0.801980198019802,0.19801980198019797,0.7927927927927928,0.2072072072072072
ResNet,BeetleFly,72,90,1.0,0.6,0.4,0.8484848484848485,0.1515151515151515
ResNet,BeetleFly,78,90,1.0,0.6071428571428571,0.3928571428571429,0.8518518518518519,0.14814814814814814
