classifier,dataset,perturbation,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inverse_tp,change_inverse_tp
MLP,OSULeaf,mean,75,50,0.9449999928474426,0.5045233124565066,0.440476680390936,0.3235908141962422,0.6214091786512004
MLP,OSULeaf,zero,75,95,0.9449999928474426,0.3686553873552983,0.5763446054921444,0.2350845948352627,0.70991539801218
MLP,OSULeaf,zero,75,90,0.9449999928474426,0.48180494905385735,0.4631950437935853,0.3034934497816594,0.6415065430657833
MLP,OSULeaf,zero,75,85,0.9449999928474426,0.5024458420684835,0.4425541507789591,0.3214535290006988,0.6235464638467438
MLP,OSULeaf,zero,75,80,0.9449999928474426,0.5045233124565066,0.440476680390936,0.3235908141962422,0.6214091786512004
MLP,OSULeaf,zero,75,75,0.9449999928474426,0.5045233124565066,0.440476680390936,0.3235908141962422,0.6214091786512004
MLP,OSULeaf,zero,75,70,0.9449999928474426,0.5045233124565066,0.440476680390936,0.3235908141962422,0.6214091786512004
MLP,OSULeaf,zero,75,65,0.9449999928474426,0.5045233124565066,0.440476680390936,0.3235908141962422,0.6214091786512004
MLP,OSULeaf,zero,75,60,0.9449999928474426,0.5045233124565066,0.440476680390936,0.3235908141962422,0.6214091786512004
MLP,OSULeaf,zero,75,55,0.9449999928474426,0.5045233124565066,0.440476680390936,0.3235908141962422,0.6214091786512004
MLP,OSULeaf,zero,75,50,0.9449999928474426,0.5045233124565066,0.440476680390936,0.3235908141962422,0.6214091786512004
MLP,OSULeaf,mean,80,95,0.9449999928474426,0.34392523364485983,0.6010747592025828,0.2261682242990654,0.7188317685483772
MLP,OSULeaf,mean,80,90,0.9449999928474426,0.4636363636363636,0.481363629211079,0.29015151515151516,0.6548484776959275
MLP,OSULeaf,mean,80,85,0.9449999928474426,0.4957325746799431,0.44926741816749954,0.31223328591749644,0.6327667069299462
MLP,OSULeaf,mean,80,80,0.9449999928474426,0.5055788005578801,0.43942119228956256,0.3207810320781032,0.6242189607693394
MLP,OSULeaf,mean,80,75,0.9449999928474426,0.5066109951287404,0.4383889977187022,0.3221990257480863,0.6228009670993564
MLP,OSULeaf,mean,80,70,0.9449999928474426,0.5066109951287404,0.4383889977187022,0.3221990257480863,0.6228009670993564
MLP,OSULeaf,mean,80,65,0.9449999928474426,0.5066109951287404,0.4383889977187022,0.3221990257480863,0.6228009670993564
MLP,OSULeaf,mean,80,60,0.9449999928474426,0.5066109951287404,0.4383889977187022,0.3221990257480863,0.6228009670993564
MLP,OSULeaf,mean,80,55,0.9449999928474426,0.5066109951287404,0.4383889977187022,0.3221990257480863,0.6228009670993564
MLP,OSULeaf,mean,80,50,0.9449999928474426,0.5066109951287404,0.4383889977187022,0.3221990257480863,0.6228009670993564
MLP,OSULeaf,zero,80,95,0.9449999928474426,0.34392523364485983,0.6010747592025828,0.2261682242990654,0.7188317685483772
MLP,OSULeaf,zero,80,90,0.9449999928474426,0.4636363636363636,0.481363629211079,0.29015151515151516,0.6548484776959275
MLP,OSULeaf,zero,80,85,0.9449999928474426,0.4957325746799431,0.44926741816749954,0.31223328591749644,0.6327667069299462
MLP,OSULeaf,zero,80,80,0.9449999928474426,0.5055788005578801,0.43942119228956256,0.3207810320781032,0.6242189607693394
MLP,OSULeaf,zero,80,75,0.9449999928474426,0.5066109951287404,0.4383889977187022,0.3221990257480863,0.6228009670993564
MLP,OSULeaf,zero,80,70,0.9449999928474426,0.5066109951287404,0.4383889977187022,0.3221990257480863,0.6228009670993564
MLP,OSULeaf,zero,80,65,0.9449999928474426,0.5066109951287404,0.4383889977187022,0.3221990257480863,0.6228009670993564
MLP,OSULeaf,zero,80,60,0.9449999928474426,0.5066109951287404,0.4383889977187022,0.3221990257480863,0.6228009670993564
MLP,OSULeaf,zero,80,55,0.9449999928474426,0.5066109951287404,0.4383889977187022,0.3221990257480863,0.6228009670993564
MLP,OSULeaf,zero,80,50,0.9449999928474426,0.5066109951287404,0.4383889977187022,0.3221990257480863,0.6228009670993564
MLP,OSULeaf,mean,85,95,0.9449999928474426,0.32673267326732675,0.6182673195801158,0.23366336633663368,0.711336626510809
MLP,OSULeaf,mean,85,90,0.9449999928474426,0.43146796431467965,0.5135320285327629,0.291970802919708,0.6530291899277346
MLP,OSULeaf,mean,85,85,0.9449999928474426,0.475482912332838,0.4695170805146046,0.31946508172362553,0.6255349111238171
MLP,OSULeaf,mean,85,80,0.9449999928474426,0.4953604568165596,0.449639536030883,0.331192005710207,0.6138079871372356
MLP,OSULeaf,mean,85,75,0.9449999928474426,0.501410437235543,0.4435895556118996,0.33568406205923834,0.6093159307882043
MLP,OSULeaf,mean,85,70,0.9449999928474426,0.5042075736325385,0.4407924192149041,0.33660589060308554,0.6083941022443571
MLP,OSULeaf,mean,85,65,0.9449999928474426,0.5045550105115627,0.4404449823358799,0.3370707778556412,0.6079292149918014
MLP,OSULeaf,mean,85,60,0.9449999928474426,0.5052484254723583,0.43975156737508436,0.3365990202939118,0.6084009725535309
MLP,OSULeaf,mean,85,55,0.9449999928474426,0.5062849162011173,0.43871507664632536,0.3372905027932961,0.6077094900541465
MLP,OSULeaf,mean,85,50,0.9449999928474426,0.5066294487090021,0.43837054413844057,0.33705512909979063,0.607944863747652
MLP,OSULeaf,zero,85,95,0.9449999928474426,0.32673267326732675,0.6182673195801158,0.23366336633663368,0.711336626510809
MLP,OSULeaf,zero,85,90,0.9449999928474426,0.43146796431467965,0.5135320285327629,0.291970802919708,0.6530291899277346
MLP,OSULeaf,zero,85,85,0.9449999928474426,0.475482912332838,0.4695170805146046,0.31946508172362553,0.6255349111238171
MLP,OSULeaf,zero,85,80,0.9449999928474426,0.4953604568165596,0.449639536030883,0.331192005710207,0.6138079871372356
MLP,OSULeaf,zero,85,75,0.9449999928474426,0.501410437235543,0.4435895556118996,0.33568406205923834,0.6093159307882043
MLP,OSULeaf,zero,85,70,0.9449999928474426,0.5042075736325385,0.4407924192149041,0.33660589060308554,0.6083941022443571
MLP,OSULeaf,zero,85,65,0.9449999928474426,0.5045550105115627,0.4404449823358799,0.3370707778556412,0.6079292149918014
MLP,OSULeaf,zero,85,60,0.9449999928474426,0.5052484254723583,0.43975156737508436,0.3365990202939118,0.6084009725535309
MLP,OSULeaf,zero,85,55,0.9449999928474426,0.5062849162011173,0.43871507664632536,0.3372905027932961,0.6077094900541465
MLP,OSULeaf,zero,85,50,0.9449999928474426,0.5066294487090021,0.43837054413844057,0.33705512909979063,0.607944863747652
MLP,OSULeaf,mean,90,95,0.9449999928474426,0.3842159916926272,0.5607840011548154,0.21495327102803738,0.7300467218194052
MLP,OSULeaf,mean,90,90,0.9449999928474426,0.4883520276100086,0.456647965237434,0.28559102674719583,0.6594089661002468
MLP,OSULeaf,mean,90,85,0.9449999928474426,0.505008347245409,0.43999164560203363,0.3038397328881469,0.6411602599592957
MLP,OSULeaf,mean,90,80,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,mean,90,75,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,mean,90,70,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,mean,90,65,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,mean,90,60,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,mean,90,55,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,mean,90,50,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,zero,90,95,0.9449999928474426,0.3842159916926272,0.5607840011548154,0.21495327102803738,0.7300467218194052
MLP,OSULeaf,zero,90,90,0.9449999928474426,0.4883520276100086,0.456647965237434,0.28559102674719583,0.6594089661002468
MLP,OSULeaf,zero,90,85,0.9449999928474426,0.505008347245409,0.43999164560203363,0.3038397328881469,0.6411602599592957
MLP,OSULeaf,zero,90,80,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,zero,90,75,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,zero,90,70,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,zero,90,65,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,zero,90,60,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,zero,90,55,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
