classifier,dataset,perturbation,distance_metric,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp
MLP,BeetleFly,mean,euclidean,84,90,1.0,0.8125,0.1875,0.5625,0.4375
MLP,BeetleFly,zero,dtw,84,90,1.0,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.4444444444444444
MLP,BeetleFly,zero,euclidean,84,90,1.0,0.8,0.19999999999999996,0.5333333333333333,0.4666666666666667
MLP,BeetleFly,mean,dtw,90,90,1.0,0.8,0.19999999999999996,0.6,0.4
MLP,BeetleFly,mean,euclidean,90,90,1.0,0.8,0.19999999999999996,0.6,0.4
MLP,BeetleFly,zero,dtw,90,90,1.0,0.8,0.19999999999999996,0.6,0.4
MLP,BeetleFly,zero,euclidean,90,90,1.0,0.8,0.19999999999999996,0.6,0.4
MLP,BeetleFly,mean,dtw,96,90,1.0,0.8,0.19999999999999996,0.65,0.35
MLP,BeetleFly,mean,euclidean,96,90,1.0,0.8,0.19999999999999996,0.65,0.35
MLP,BeetleFly,zero,dtw,96,90,1.0,0.7619047619047619,0.23809523809523814,0.6190476190476191,0.38095238095238093
MLP,BeetleFly,zero,euclidean,96,90,1.0,0.8,0.19999999999999996,0.65,0.35
MLP,Earthquakes,mean,dtw,102,90,1.0,0.8663101604278075,0.1336898395721925,0.9037433155080213,0.09625668449197866
MLP,Earthquakes,mean,euclidean,102,90,1.0,0.8547486033519553,0.14525139664804465,0.8938547486033519,0.1061452513966481
MLP,Earthquakes,zero,dtw,102,90,1.0,0.8539325842696629,0.1460674157303371,0.8932584269662921,0.1067415730337079
MLP,Earthquakes,zero,euclidean,102,90,1.0,0.8641304347826086,0.13586956521739135,0.8967391304347826,0.1032608695652174
MLP,Earthquakes,mean,dtw,108,90,1.0,0.8440860215053764,0.15591397849462363,0.9139784946236559,0.08602150537634412
MLP,Earthquakes,mean,euclidean,108,90,1.0,0.8314606741573034,0.1685393258426966,0.9044943820224719,0.0955056179775281
MLP,Earthquakes,zero,dtw,108,90,1.0,0.8548387096774194,0.14516129032258063,0.9139784946236559,0.08602150537634412
MLP,Earthquakes,zero,euclidean,108,90,1.0,0.8505154639175257,0.14948453608247425,0.9175257731958762,0.08247422680412375
MLP,Earthquakes,mean,dtw,114,90,1.0,0.8704663212435233,0.1295336787564767,0.8186528497409327,0.18134715025906734
MLP,Earthquakes,mean,euclidean,114,90,1.0,0.861878453038674,0.13812154696132595,0.8176795580110497,0.18232044198895025
MLP,Earthquakes,zero,dtw,114,90,1.0,0.8624338624338624,0.13756613756613756,0.8095238095238095,0.19047619047619047
MLP,Earthquakes,zero,euclidean,114,90,1.0,0.8624338624338624,0.13756613756613756,0.8201058201058201,0.17989417989417988
MLP,Earthquakes,mean,dtw,120,90,1.0,0.8685714285714285,0.13142857142857145,0.84,0.16000000000000003
MLP,Earthquakes,mean,euclidean,120,90,1.0,0.875,0.125,0.8541666666666666,0.14583333333333337
MLP,Earthquakes,zero,dtw,120,90,1.0,0.875,0.125,0.8465909090909091,0.15340909090909094
MLP,Earthquakes,zero,euclidean,120,90,1.0,0.875,0.125,0.8586956521739131,0.14130434782608692
MLP,Earthquakes,mean,dtw,126,90,1.0,0.875,0.125,0.875,0.125
MLP,Earthquakes,mean,euclidean,126,90,1.0,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.1333333333333333
MLP,Earthquakes,zero,dtw,126,90,1.0,0.8688524590163934,0.1311475409836066,0.8633879781420765,0.13661202185792354
MLP,Earthquakes,zero,euclidean,126,90,1.0,0.8764044943820225,0.1235955056179775,0.8820224719101124,0.1179775280898876
MLP,Earthquakes,mean,dtw,12,90,1.0,0.6932515337423313,0.3067484662576687,0.7668711656441718,0.2331288343558282
MLP,Earthquakes,mean,euclidean,12,90,1.0,0.6949152542372882,0.30508474576271183,0.7627118644067796,0.23728813559322037
MLP,Earthquakes,zero,dtw,12,90,1.0,0.6951219512195121,0.30487804878048785,0.774390243902439,0.22560975609756095
MLP,Earthquakes,zero,euclidean,12,90,1.0,0.6867469879518072,0.3132530120481928,0.7590361445783133,0.24096385542168675
MLP,Earthquakes,mean,dtw,18,90,1.0,0.6944444444444444,0.3055555555555556,0.7555555555555555,0.24444444444444446
MLP,Earthquakes,mean,euclidean,18,90,1.0,0.7093023255813954,0.2906976744186046,0.7674418604651163,0.2325581395348837
MLP,Earthquakes,zero,dtw,18,90,1.0,0.7085714285714285,0.2914285714285715,0.76,0.24
MLP,Earthquakes,zero,euclidean,18,90,1.0,0.6885245901639344,0.3114754098360656,0.7650273224043715,0.23497267759562845
MLP,Earthquakes,mean,dtw,24,90,1.0,0.7263157894736842,0.27368421052631575,0.8052631578947368,0.1947368421052632
MLP,Earthquakes,mean,euclidean,24,90,1.0,0.7087912087912088,0.2912087912087912,0.7967032967032966,0.20329670329670335
MLP,Earthquakes,zero,dtw,24,90,1.0,0.7016574585635359,0.2983425414364641,0.7845303867403315,0.2154696132596685
MLP,Earthquakes,zero,euclidean,24,90,1.0,0.6898395721925134,0.31016042780748665,0.7754010695187166,0.22459893048128343
MLP,Earthquakes,mean,dtw,30,90,1.0,0.7166666666666667,0.2833333333333333,0.7833333333333333,0.21666666666666667
MLP,Earthquakes,mean,euclidean,30,90,1.0,0.7329545454545454,0.2670454545454546,0.8011363636363636,0.19886363636363635
MLP,Earthquakes,zero,dtw,30,90,1.0,0.6810810810810811,0.3189189189189189,0.7513513513513513,0.24864864864864866
MLP,Earthquakes,zero,euclidean,30,90,1.0,0.7076023391812866,0.29239766081871343,0.7777777777777778,0.2222222222222222
MLP,Earthquakes,mean,dtw,36,90,1.0,0.7277777777777777,0.27222222222222225,0.8111111111111111,0.18888888888888888
MLP,Earthquakes,mean,euclidean,36,90,1.0,0.708994708994709,0.29100529100529104,0.7724867724867724,0.22751322751322756
MLP,Earthquakes,zero,dtw,36,90,1.0,0.7164948453608248,0.28350515463917525,0.7938144329896907,0.20618556701030932
MLP,Earthquakes,zero,euclidean,36,90,1.0,0.7213114754098361,0.2786885245901639,0.7978142076502732,0.20218579234972678
MLP,Earthquakes,mean,dtw,42,90,1.0,0.7849462365591398,0.21505376344086025,0.8333333333333334,0.16666666666666663
MLP,Earthquakes,mean,euclidean,42,90,1.0,0.7659574468085106,0.23404255319148937,0.8191489361702128,0.18085106382978722
MLP,Earthquakes,zero,dtw,42,90,1.0,0.7486033519553073,0.25139664804469275,0.7932960893854749,0.2067039106145251
MLP,Earthquakes,zero,euclidean,42,90,1.0,0.7591623036649214,0.24083769633507857,0.806282722513089,0.19371727748691103
MLP,Earthquakes,mean,dtw,48,90,1.0,0.75,0.25,0.8031914893617021,0.19680851063829785
MLP,Earthquakes,mean,euclidean,48,90,1.0,0.7422680412371134,0.25773195876288657,0.7989690721649485,0.2010309278350515
MLP,Earthquakes,zero,dtw,48,90,1.0,0.7368421052631579,0.26315789473684215,0.8105263157894737,0.18947368421052635
MLP,Earthquakes,zero,euclidean,48,90,1.0,0.7513227513227513,0.24867724867724872,0.8095238095238095,0.19047619047619047
MLP,Earthquakes,mean,dtw,54,90,1.0,0.7135135135135136,0.28648648648648645,0.7783783783783784,0.22162162162162158
MLP,Earthquakes,mean,euclidean,54,90,1.0,0.7319587628865979,0.2680412371134021,0.7938144329896907,0.20618556701030932
MLP,Earthquakes,zero,dtw,54,90,1.0,0.7305699481865285,0.26943005181347146,0.7927461139896373,0.20725388601036265
MLP,Earthquakes,zero,euclidean,54,90,1.0,0.6931818181818182,0.30681818181818177,0.7556818181818182,0.24431818181818177
MLP,Earthquakes,mean,dtw,60,90,1.0,0.7777777777777778,0.2222222222222222,0.8080808080808081,0.19191919191919193
MLP,Earthquakes,mean,euclidean,60,90,1.0,0.7868852459016393,0.21311475409836067,0.825136612021858,0.17486338797814205
MLP,Earthquakes,zero,dtw,60,90,1.0,0.7719298245614035,0.22807017543859653,0.8187134502923976,0.18128654970760238
MLP,Earthquakes,zero,euclidean,60,90,1.0,0.7905759162303665,0.2094240837696335,0.8272251308900523,0.17277486910994766
MLP,Earthquakes,mean,dtw,66,90,1.0,0.7956989247311828,0.20430107526881724,0.8010752688172043,0.19892473118279574
MLP,Earthquakes,mean,euclidean,66,90,1.0,0.7837837837837838,0.21621621621621623,0.7837837837837838,0.21621621621621623
MLP,Earthquakes,zero,dtw,66,90,1.0,0.78125,0.21875,0.7916666666666666,0.20833333333333337
MLP,Earthquakes,zero,euclidean,66,90,1.0,0.7948717948717948,0.20512820512820518,0.7897435897435897,0.2102564102564103
MLP,Earthquakes,mean,dtw,6,90,1.0,0.6751592356687898,0.32484076433121023,0.6815286624203821,0.3184713375796179
MLP,Earthquakes,mean,euclidean,6,90,1.0,0.7152777777777778,0.2847222222222222,0.7083333333333334,0.29166666666666663
MLP,Earthquakes,zero,dtw,6,90,1.0,0.6730769230769231,0.32692307692307687,0.6730769230769231,0.32692307692307687
MLP,Earthquakes,zero,euclidean,6,90,1.0,0.6577181208053692,0.3422818791946308,0.6778523489932886,0.3221476510067114
MLP,Earthquakes,mean,dtw,72,90,1.0,0.8072916666666666,0.19270833333333337,0.8125,0.1875
MLP,Earthquakes,mean,euclidean,72,90,1.0,0.7903225806451613,0.20967741935483875,0.8172043010752689,0.18279569892473113
MLP,Earthquakes,zero,dtw,72,90,1.0,0.7955801104972375,0.20441988950276246,0.8066298342541437,0.1933701657458563
